country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
BR,GAS,Gameleiras,Gameleiras,MG,AA,--3-----,,-15.066666666666666,-43.11666666666667
BR,GDU,Gandu,Gandu,BA,AA,--3-----,,-13.733333333333333,-39.483333333333334
BR,GHU,Garanhuns,Garanhuns,PE,AA,--3-----,,-8.883333333333333,-36.483333333333334
BR,GRR,Gararu,Gararu,SE,AA,--3-----,,-9.966666666666667,-37.083333333333336
BR,GCA,Gar�a,Garca,SP,AA,--34----,,-22.2,-49.65
BR,GBI,Garibaldi,Garibaldi,RS,AA,--34----,,-29.25,-51.516666666666666
BR,GPA,Garopaba,Garopaba,SC,AA,--3-----,,-28.016666666666666,-48.6
BR,GDN,Garraf�o do Norte,Garrafao do Norte,PA,AA,--3-----,,-1.9166666666666665,-47.03333333333333
BR,GHS,Garruchos,Garruchos,RS,AA,--3-----,,-28.183333333333334,-55.63333333333333
BR,GRV,Garuva,Garuva,SC,AA,--3-----,,-26.016666666666666,-48.833333333333336
BR,GSA,Gaspar,Gaspar,SC,AA,--3-----,,-26.916666666666668,-48.96666666666667
BR,GVG,Gast�o Vidigal,Gastao Vidigal,SP,AA,--3-----,,-20.783333333333335,-50.18333333333333
BR,GAU,Ga�cha do Norte,Gaucha do Norte,MT,AA,--3-----,,-13.183333333333334,-53.25
BR,GAW,Gaurama,Gaurama,RS,AA,--3-----,,-27.583333333333332,-52.1
BR,GVO,Gavi�o,Gaviao,BA,AA,--3-----,,-11.466666666666667,-39.78333333333333
BR,GPX,Gavi�o Peixoto,Gaviao Peixoto,SP,AA,--3-----,,-21.833333333333332,-48.483333333333334
BR,GEO,Geminiano,Geminiano,PI,AA,--3-----,,-7.15,-41.35
BR,GCM,General C�mara,General Camara,RS,AA,--3-----,,-29.9,-51.75
BR,GEC,General Carneiro,General Carneiro,PR,AA,--3-----,,-26.416666666666668,-51.31666666666667
BR,GLC,General Carneiro,General Carneiro,MT,AC,--3-----,,-15.7,-52.75
BR,GMD,General Maynard,General Maynard,SE,AA,--3-----,,-10.683333333333334,-36.983333333333334
BR,GSO,General Salgado,General Salgado,SP,AA,--3-----,,-20.633333333333333,-50.35
BR,GSI,General Sampaio,General Sampaio,CE,AA,--3-----,,-4.05,-39.45
BR,GNL,Gentil,Gentil,RS,AA,--3-----,,-28.433333333333334,-52.03333333333333
BR,GOO,Gentio do Ouro,Gentio do Ouro,BA,AA,--3-----,,-11.416666666666666,-42.5
BR,GTU,Getulina,Getulina,SP,AA,--3-----,,-21.783333333333335,-49.916666666666664
BR,GVA,Get�lio Vargas,Getulio Vargas,RS,AA,--3-----,,-27.866666666666667,-52.233333333333334
BR,GLS,Gilbu�s,Gilbues,PI,AA,--3-----,,-9.833333333333334,-45.333333333333336
BR,GPN,Girau do Ponciano,Girau do Ponciano,AL,AA,--3-----,,-9.883333333333333,-36.81666666666667
BR,GIU,Giru�,Girua,RS,AA,--3-----,,-28.016666666666666,-54.35
BR,GLD,Glaucil�ndia,Glaucilandia,MG,AA,--3-----,,-16.85,-43.68333333333333
BR,GLO,Glic�rio,Glicerio,SP,AA,--3-----,,-21.366666666666667,-50.2
BR,GLI,Gl�ria,Gloria,BA,AA,--3-----,,-9.333333333333334,-38.25
BR,GDO,Gl�ria de Dourados,Gloria de Dourados,MS,AA,--3-----,,-22.4,-54.233333333333334
BR,GDG,Gl�ria do Goit�,Gloria do Goita,PE,AA,--3-----,,-7.983333333333333,-35.28333333333333
BR,GOT,Gl�ria D'Oeste,Gloria D'Oeste,MT,AA,--3-----,,-15.766666666666667,-58.3
BR,GHA,Glorinha,Glorinha,RS,AA,--3-----,,-29.866666666666667,-50.78333333333333
BR,GVN,Godofredo Viana,Godofredo Viana,MA,AA,--3-----,,-1.4,-45.766666666666666
BR,GMR,Godoy Moreira,Godoy Moreira,PR,AA,--3-----,,-24.183333333333334,-51.916666666666664
BR,GER,Goiabeira,Goiabeira,MG,AA,--3-----,,-18.966666666666665,-41.21666666666667
BR,GNA,Goiana,Goiana,PE,AA,--3-----,,-7.55,-34.983333333333334
BR,GIN,Goian�,Goiana,MG,AA,--34----,,-21.516666666666666,-43.18333333333333
BR,GPO,Goian�polis,Goianapolis,GO,AA,--3-----,,-16.5,-49.016666666666666
BR,GDI,Goiandira,Goiandira,GO,AA,--3-----,,-18.116666666666667,-48.083333333333336
BR,GNI,Goian�sia,Goianesia,GO,AA,--3-----,,-15.316666666666666,-49.1
BR,GOP,Goian�sia do Par�,Goianesia do Para,PA,AA,--3-----,,-3.8333333333333335,-49.1
BR,GYN,Goi�nia,Goiania,GO,AA,-234----,,-16.666666666666668,-49.25
BR,GOH,Goianinha,Goianinha,RN,AA,--3-----,,-6.25,-35.21666666666667
BR,GOA,Goianira,Goianira,GO,AA,--3-----,,-16.5,-49.416666666666664
BR,GNE,Goianorte,Goianorte,TO,AA,--3-----,,-8.766666666666667,-48.93333333333333
BR,GIS,Goi�s,Goias,GO,AA,--3-----,,-15.933333333333334,-50.13333333333333
